Hora da estatística(h),Área1-Pessoas que entraram
"00:00-01:00","2",
"01:00-02:00","4",
"02:00-03:00","0",
"03:00-04:00","0",
"04:00-05:00","0",
"05:00-06:00","0",
"06:00-07:00","2",
"07:00-08:00","13",
"08:00-09:00","84",
"09:00-10:00","416",
"10:00-11:00","1197",
"11:00-12:00","1263",
"12:00-13:00","939",
"13:00-14:00","1227",
"14:00-15:00","1661",
"15:00-16:00","1511",
"16:00-17:00","1570",
"17:00-18:00","1366",
"18:00-19:00","1561",
"19:00-20:00","1531",
"20:00-21:00","965",
"21:00-22:00","242",
"22:00-23:00","4",
"23:00-24:00","3",
